timestamp,target_pos,actual_pos,velocity
1768803156.1218412,0.0,2.1227201004951538e-10,5.0945282411883695e-08
1768803156.126526,0.01,0.0009989115264053207,0.23973871539199454
1768803156.1312208,0.02,0.00289803869905976,0.45579052143706544
1768803156.1357381,0.03,0.00560823050007136,0.6504460322427839
1768803156.1401114,0.04,0.009047403559139727,0.8254015341764083
1768803156.144609,0.05,0.013142658626247333,0.9828612161058254
1768803156.149232,0.06,0.017828388666841458,1.1245752097425903
1768803156.1540964,0.07,0.02304554614769902,1.252117795405815
1768803156.1589005,0.08,0.028740987282022522,1.3669058722376404
1768803156.1636539,0.09,0.03486688479747656,1.470215403708968
1768803156.1682072,0.1,0.04138019199246397,1.5631937267969778
1768803156.1728,0.11,0.0482421690151085,1.646874485434687
1768803156.1774013,0.12,0.055417948836739554,1.7221871571914533
1768803156.182093,0.13,0.06287615025078926,1.7899683393719288
1768803156.18667,0.14,0.07058853205364692,1.850971632685837
1768803156.1914227,0.15,0.07852967531111604,1.9058743817925887
1768803156.195904,0.16,0.08667670478810556,1.9552870744774853
1768803156.2003937,0.17,0.09500903101643562,1.9997582947992163
1768803156.204985,0.18,0.10350812516545183,2.0397825957638895
1768803156.2096345,0.19,0.11215730966458698,2.0758042797924383
1768803156.214615,0.2,0.12094157624216162,2.1082239786179118
1768803156.2191834,0.21,0.12984741599628535,2.1374015409896945
1768803156.2238033,0.22,0.13886267227973903,2.163661508028885
1768803156.228658,0.23,0.14797640284585167,2.1872953358670344
1768803156.2332783,0.24,0.15717876029432248,2.208565787632993
1768803156.2379634,0.25,0.16646088252884678,2.2277093362858307
1768803156.24263,0.26,0.17581479260126198,2.2449384173796476
1768803156.2469885,0.27,0.18523331180288868,2.260444608390406
1768803156.2515612,0.28,0.19470997893912229,2.274400112696063
1768803156.256215,0.29,0.20423897952136383,2.286960139737967
1768803156.2609134,0.3,0.2138150797880404,2.29826406400238
1768803156.265472,0.31,0.2234335729596639,2.30843836118964
1768803156.2700682,0.32,0.23309021704282462,2.3175945799585715
1768803156.2747478,0.33,0.24278119683008267,2.325835148941932
1768803156.2791598,0.34,0.252503078573463,2.3332516184112726
1768803156.2837725,0.35000000000000003,0.26225277198881036,2.339926419683364
1768803156.2883344,0.36,0.2720274958802126,2.3459337339365285
1768803156.2929814,0.37,0.28182474748579794,2.351340385340493
1768803156.2973747,0.38,0.2916422737203365,2.3562062962892614
1768803156.3019037,0.39,0.3014780473907591,2.3605856809014223
1768803156.3064718,0.4,0.3113302437506576,2.364527126375635
1768803156.3112745,0.41000000000000003,0.32119722025159386,2.3680743602247096
1768803156.3158062,0.42,0.3310774991332051,2.3712669315867005
1768803156.3203712,0.43,0.34096975015727815,2.3741402457775274
1768803156.3249497,0.44,0.3508727761067012,2.376726227861534
1768803156.3293855,0.45,0.3607854994864729,2.3790536111452125
1768803156.3338351,0.46,0.37070695031041756,2.3811481977467115
1768803156.3385608,0.47000000000000003,0.3806362560659286,2.3830333813226527
1768803156.343249,0.48,0.39057263126097663,2.3847300468115273
1768803156.3478682,0.49,0.4005153689506526,2.3862570455222367
1768803156.352524,0.5,0.4104638328846621,2.387631344162276
1768803156.357175,0.51,0.42041745043786355,2.3888682127683545
1768803156.3619103,0.52,0.43037570624773486,2.3899813943691077
1768803156.3665748,0.53,0.4403381364880954,2.3909832576865298
1768803156.3712087,0.54,0.4503043235070835,2.391884884557147
1768803156.375784,0.55,0.46027389183073586,2.392696397676565
1768803156.3801308,0.56,0.4702465033298741,2.3934267597931806
1768803156.384713,0.5700000000000001,0.48022185368675524,2.394084085651477
1768803156.3893163,0.58,0.4901996690154295,2.394675678881815
1768803156.3940318,0.59,0.5001797028185676,2.3952081127531457
1768803156.3984597,0.6,0.5101617332485952,2.395687303206604
1768803156.4031546,0.61,0.5201455606427136,2.396118574588409
1768803156.4075534,0.62,0.5301310053044197,2.396506718809475
1768803156.4119332,0.63,0.540117905506874,2.3968560485890364
1768803156.4164937,0.64,0.5501061156959319,2.3971704453738942
1768803156.4208224,0.65,0.5600955048728725,2.3974534024657363
1768803156.4254506,0.66,0.5700859549596976,2.3977080208380217
1768803156.4301672,0.67,0.5800773600419061,2.39793721973004
1768803156.4347277,0.68,0.5900696246209423,2.398143498968677
1768803156.4396195,0.6900000000000001,0.600062662747101,2.3983291502780846
1768803156.4441082,0.7000000000000001,0.6100563970656443,2.3984962364504043
1768803156.448846,0.71,0.6200507579573102,2.398646613999817
1768803156.4535441,0.72,0.6300456827647644,2.398781953788983
1768803156.4580805,0.73,0.6400411150964068,2.3989037595941918
1768803156.4628859,0.74,0.6500370041997986,2.399013384814019
1768803156.4674857,0.75,0.6600333043977449,2.399112047507114
1768803156.4722679,0.76,0.6700299745807707,2.3992008439261956
1768803156.476854,0.77,0.6800269777503485,2.3992807606986593
1768803156.4813564,0.78,0.6900242806078032,2.3993526857891165
1768803156.486015,0.79,0.7000218531843269,2.399417418365676
1768803156.4905136,0.8,0.7100196685079919,2.3994756776796087
1768803156.4953842,0.81,0.7200177023040628,2.399528111057024
1768803156.4999053,0.8200000000000001,0.730015932725277,2.399575301091404
1768803156.5046933,0.8300000000000001,0.7400143401090973,2.3996177721168586
1768803156.5092843,0.84,0.7500129067592393,2.3996559960340664
1768803156.5138652,0.85,0.7600116165907022,2.3996903595511068
1768803156.518616,0.86,0.7700104554418673,2.3997213242796254
1768803156.5232875,0.87,0.7800094104114326,2.3997491926956576
1768803156.5278556,0.88,0.7900084698875399,2.3997742742657673
1768803156.5326684,0.89,0.8000076234195134,2.3997968476736347
